GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
neo4j-to-neptune,com.amazonaws.services.neptune.io,RawCsvPrinter,52,0,0,0,15,0,7,0,7,0
neo4j-to-neptune,com.amazonaws.services.neptune.io,Neo4jStreamWriter.Neo4jStreamWriterConfig,0,28,0,0,0,9,0,5,0,5
neo4j-to-neptune,com.amazonaws.services.neptune.io,OutputFile,86,0,2,0,24,0,5,0,4,0
neo4j-to-neptune,com.amazonaws.services.neptune.io,Neo4jStreamWriter,404,92,28,12,103,24,22,9,8,3
neo4j-to-neptune,com.amazonaws.services.neptune.io,Directories,5,65,1,3,1,15,1,6,0,5
neo4j-to-neptune,com.amazonaws.services.neptune,ConvertCsv,506,0,48,0,128,0,34,0,10,0
neo4j-to-neptune,com.amazonaws.services.neptune,Neo4jToNeptuneCli,44,0,0,0,12,0,2,0,2,0
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedRelationshipPropertyPolicy.new MultiValuedRelationshipPropertyPolicy() {...},1,9,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,PropertyValueParser,31,150,5,21,7,29,4,18,0,9
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,Property,20,41,1,1,3,10,2,4,1,4
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedNodePropertyPolicy,0,27,0,0,0,5,0,1,0,1
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedRelationshipPropertyPolicy.new MultiValuedRelationshipPropertyPolicy() {...},1,10,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,Token,2,59,0,0,2,14,2,4,2,4
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DateTimeUtils,3,9,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,VertexMetadata,29,406,10,57,5,86,10,38,0,14
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,Headers,0,33,0,0,0,7,0,5,0,5
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType.new DataType() {...},0,7,0,0,0,2,0,2,0,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,PropertyValue,0,21,0,0,0,8,0,4,0,4
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,DataType,2,207,1,31,1,66,1,26,0,11
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,ConversionConfig,37,114,8,26,7,22,8,12,0,3
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,BulkLoadConfig,36,275,19,51,7,59,19,27,0,11
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,EdgeMetadata.new Iterator() {...},2,131,4,14,1,19,4,8,0,3
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedNodePropertyPolicy.new MultiValuedNodePropertyPolicy() {...},5,10,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedRelationshipPropertyPolicy,0,15,0,0,0,3,0,1,0,1
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedNodePropertyPolicy.new MultiValuedNodePropertyPolicy() {...},1,10,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedNodePropertyPolicy.new MultiValuedNodePropertyPolicy() {...},1,10,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,MultiValuedNodePropertyPolicy.new MultiValuedNodePropertyPolicy() {...},1,9,0,0,1,2,1,2,1,2
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,EdgeMetadata,17,532,13,69,3,105,14,43,1,14
neo4j-to-neptune,com.amazonaws.services.neptune.metadata,VertexMetadata.new Iterator() {...},3,106,1,7,1,17,1,6,0,3
neo4j-to-neptune,com.amazonaws.services.neptune.util,Timer,25,0,0,0,5,0,2,0,2,0
neo4j-to-neptune,com.amazonaws.services.neptune.util,Utils,0,54,0,6,0,4,0,4,0,1
neo4j-to-neptune,com.amazonaws.services.neptune.util,NeptuneBulkLoader,81,1059,15,47,20,271,15,44,0,28
neo4j-to-neptune,com.amazonaws.services.neptune.util,CSVUtils,25,23,1,1,6,5,4,2,3,2
